PED::_IS_PED_HOGTIED, 553
NETWORK::NETWORK_IS_PLAYER_A_PARTICIPANT, 550
INVENTORY::_0xC97E0D2302382211, 546
SCRIPTS::_0x179A6F0EE2E79026, 541
ENTITY::HAS_ENTITY_CLEAR_LOS_TO_ENTITY, 539
MAP::_BLIP_REMOVE_MODIFIER, 536
ITEMDATABASE::_0xCBB7B6EDFA933ADE, 533
ANIMSCENE::_CREATE_ANIM_SCENE, 532
PED::_0x06087579E7AA85A9, 529
ENTITY::FREEZE_ENTITY_POSITION, 528
GANG::_0x149A2751AB66AC02, 527
SCRIPTS::_0xD426E2E3288469D6, 527
DATABINDING::_DATABINDING_ADD_DATA_BOOL_BY_HASH, 526
ENTITY::SET_ENTITY_AS_MISSION_ENTITY, 526
NETWORK::NETWORK_IS_SIGNED_ONLINE, 526
PLAYER::_GET_MOUNT_OF_PLAYER, 526
ENTITY::_0x88AD6CC10D8D35B2, 523
NETWORK::NETWORK_IS_SESSION_ACTIVE, 520
DATABINDING::_DATABINDING_WRITE_DATA_INT, 519
ITEMDATABASE::_ITEM_DATABASE_DOES_ITEM_HAVE_TAG, 517
ENTITY::GET_ENTITY_HEALTH, 514
NETSHOPPING::_CASHINVENTORY_TRANSACTION_DELETE, 514
ITEMSET::DESTROY_ITEMSET, 511
HUD::_GET_LABEL_TEXT, 508
PERSCHAR::_0x800DF3FC913355F3, 508
WEAPON::HAS_PED_GOT_WEAPON, 508
DATAFILE::_0xA63CD20F19B961AB, 503
NETWORK::_0x51951DE06C0D1C40, 503
PED::GET_MOUNT, 503
UNLOCK::_UNLOCK_SET_UNLOCKED, 497
TASK::_DELETE_SCENARIO_POINT, 492
TASK::IS_PED_IN_WRITHE, 490
CAM::DO_SCREEN_FADE_OUT, 485
WEAPON::_IS_AMMO_VALID, 481
WEAPON::SET_CURRENT_PED_WEAPON, 478
MISC::GET_GROUND_Z_FOR_3D_COORD, 477
VOLUME::_CREATE_VOLUME_BOX_WITH_CUSTOM_NAME, 475
GANG::_0x81FB74C83C2ED69F, 473
PAD::ENABLE_CONTROL_ACTION, 473
PED::SET_PED_COMBAT_ATTRIBUTES, 473
DATAFILE::_DATAFILE_GET_FLOAT, 472
PAD::IS_CONTROL_PRESSED, 469
UIAPPS::_IS_APP_RUNNING_BY_HASH, 468
WEAPON::_IS_WEAPON_BOW, 466
WEAPON::_IS_WEAPON_MELEE, 463
